A,B,C,D,E,F
1,37.454011884736246,3.142918568673425,64.20316461542878,5.16817211686077,10.31238688359326
2,95.07143064099162,63.64104112637804,8.413996499504883,53.1354631568148,90.25529066795667
3,73.1993941811405,31.435598107632668,16.162871409461378,54.06351216101065,50.525237244785714
4,59.86584841970366,50.85706911647028,89.85541885270793,63.742990149820656,82.64574661077417
5,15.601864044243651,90.7566473926093,60.642905965958995,72.60913337226616,32.00496010306117
6,15.599452033620265,24.929222914887493,0.9197051616629648,97.58520794625346,89.55232284962005
7,5.8083612168199465,41.038292303562976,10.147154286603211,51.630034830119534,38.92016787341631
8,86.61761457749351,75.55511385430486,66.35017691080559,32.2956472941246,1.083765148029836
9,60.11150117432088,22.879816549162246,0.5061583846218687,79.51861947687037,90.53819764192636
10,70.80725777960456,7.697990982879299,16.080805141749867,27.083225126207424,9.128667678613356
11,2.0584494295802447,28.9751452913768,54.87337893665861,43.89714207056361,31.93136375904149
12,96.99098521619943,16.122128725400444,69.18951976926932,7.845638134226595,95.0061967050805
13,83.24426408004217,92.96976523425731,65.19612595026005,2.535074341545751,95.06071469375561
14,21.233911067827616,80.8120379564417,22.42693094605598,96.26484146779251,57.34378881232861
15,18.182496720710063,63.34037565104234,71.2179221347536,83.59801205122058,63.183721216979926
16,18.34045098534338,87.14605901877177,23.724908749680008,69.59742060936979,44.84455219783198
17,30.42422429595377,80.36720768991145,32.539969815926774,40.89529444142699,29.321077169806454
18,52.475643163223786,18.657005888603585,74.64914051180241,17.329432007084577,32.8664545369916
19,43.194501864211574,89.25589984899777,64.96328990472146,15.643704267108605,67.25184560770384
20,29.122914019804192,53.93422419156507,84.9223410494178,25.024289816459532,75.237452943768
21,61.18528947223795,80.74401551640625,65.76128923003434,54.92266647061205,79.15790437258485
22,13.949386065204184,89.60912999234932,56.830860333547164,71.45959227000624,78.96181427945538
23,29.214464853521815,31.800347497186387,9.367476782809248,66.01973767177313,9.120610304869036
24,36.63618432936917,11.005192452767677,36.77158030594335,27.993389694594285,49.442030470258146
25,45.606998421703594,22.793516254194166,26.520236768172545,95.48652806631941,5.755876001664428
26,78.51759613930136,42.71077886262563,24.398964337908357,73.78969166957685,54.95288823237355
27,19.967378215835975,81.80147659224932,97.30105547524455,55.43540525114007,44.1530501373377
28,51.42344384136116,86.07305832563435,39.30977246667604,61.17207462343522,88.77041827582998
29,59.24145688620425,0.6952130531190703,89.20465551771133,41.96000624277899,35.09150125520787
30,4.645041271999773,51.07473025775657,63.11386259972629,24.773098950115745,11.706701642760587
31,60.75448519014384,41.7411003148779,79.48113035416485,35.597267865126156,14.299168205283586
32,17.052412368729154,22.210781047073024,50.26370931051921,75.78461104643691,76.15106317174723
33,6.505159298527952,11.98653673336828,57.69038846263591,1.4393488629755868,61.82180633162611
34,94.88855372533332,33.7615171403628,49.25176938188639,11.607264050691624,10.112267612279025
35,96.56320330745594,94.29097039125192,19.52429877980445,4.600264202175275,8.410680611499743
36,80.83973481164611,32.320293202075526,72.24521152615053,4.072880231897013,70.096913145912
37,30.46137691733707,51.87906217433661,28.07723624408558,85.54605840110072,7.276300636419353
38,9.767211400638388,70.30189588951778,2.431596643145384,70.36578593800236,82.18600592903562
39,68.42330265121569,36.3629602379294,64.54722959071678,47.41738290873252,70.62422271564962
40,44.01524937396013,97.17820827209607,17.711067940704893,9.783416065100148,8.134878064189976
41,12.203823484477883,96.24472949421113,94.04585843529144,49.16158751168324,8.483771408519193
42,49.51769101112702,25.178229582536417,95.39285770025873,47.34717707805657,98.66395785011754
43,3.4388521115218396,49.72485058923854,91.48643902204485,17.320186991001517,37.427079575612034
44,90.9320402078782,30.087830981676966,37.01587002554444,43.385164923797305,37.06421470668909
45,25.87799816000169,28.484049437746762,1.5456616528867428,39.85047343973734,81.27995672575025
46,66.2522284353982,3.6886947354532795,92.83185625877253,61.585009805221645,94.72485773838586
47,31.171107608941096,60.956433397989684,42.81841483173143,63.50936508676438,98.6001063822871
48,52.00680211778108,50.26790232288615,96.66548190436696,4.530400977204452,75.33781852589416
49,54.67102793432797,5.147875124998935,96.36199770892529,37.46126146264712,37.62595855309158
50,18.485445552552704,27.864646423661142,85.300945546736,62.58599157142364,8.350071669866876
51,96.95846277645586,90.82658859666537,29.444889206958567,50.31362585800877,77.71469159274368
52,77.51328233611146,23.95618906669724,38.50977286019253,85.64898411883223,55.840424973580504
53,93.9498941564189,14.48948720912231,85.11366715168569,65.8693631618945,42.42220092469763
54,89.48273504276489,48.9452760277563,31.692200515627768,16.29344270814297,90.6354385094736
55,59.78999788110851,98.56504541106007,16.94927466860925,7.056874740042984,11.119748230615134
56,92.18742350231169,24.20552715115004,55.68012624583501,64.24192782063156,49.262510429085914
57,8.84925020519195,67.21355474058785,93.6154774160781,2.6511310541621813,1.1353644767419069
58,19.59828624191452,76.16196153287176,69.6029796674973,58.57755812734633,46.86606419941263
59,4.522728891053807,23.763754399239968,57.0061170089365,94.02302414249576,5.630327568183735
60,32.53303307632643,72.82163486118596,9.717649377076853,57.5474177875879,11.881791626807193
61,38.8677289689482,36.77831327192532,61.500722669916975,38.816992620652194,11.752624677710488
62,27.134903177389592,63.23058305935795,99.00538501042632,64.32882184423532,64.92103021160635
63,82.87375091519293,63.35297107608947,14.008401523652402,45.825289049151664,74.60448792654233
64,35.67533266935893,53.57746840747585,51.832965236373674,54.56167893159349,58.336876509715964
65,28.093450968738075,9.02897700544083,87.73730719279554,94.14648087765252,96.21725484745419
66,54.26960831582485,83.5302495589238,74.07686177542044,38.610263780077425,37.48705795237041
67,14.092422497476264,32.07800649717358,69.7015740995268,96.11905638239142,28.571208628186074
68,80.21969807540397,18.651851039985424,70.24840839871092,90.53506419560637,86.85991281894603
69,7.455064367977082,4.077514155476392,35.94911512197552,19.579113478929642,22.359583851945263
70,98.68869366005173,59.08929431882418,29.359184426449335,6.9361300875165455,96.32225394406113
71,77.22447692966574,67.75643618422824,80.93611554785136,10.077800137742665,1.2154474689816341
72,19.87156815341724,1.6587828927856152,81.01133946791808,1.8221825651549728,96.98788267076391
73,0.5522117123602399,51.2093058299281,86.70723185801037,9.44429607559284,4.315991195057611
74,81.54614284548342,22.649577519793795,91.32405525564712,68.30067734163569,89.11431136980711
75,70.68573438476172,64.51727904094498,51.13423988609378,7.118864846022898,52.77011090862999
76,72.90071680409874,17.436642900499145,50.15162946871996,31.89756302937613,99.29647961193004
77,77.12703466859458,69.09377381024659,79.82951789667752,84.48753109694546,7.379656473539886
78,7.4044651734090365,38.67353463005374,64.99639307777652,2.3271935735825866,55.38542844013208
79,35.84657285442726,93.67299887367345,70.19668772577033,81.44684825889358,96.9302535619099
80,11.586905952512971,13.752094414599325,79.57926694361011,28.185477477339994,52.30978441701488
81,86.31034258755935,34.10663510502585,89.00053418175663,11.816482762165625,62.93986381352625
82,62.329812682755794,11.347352124058908,33.79951568515358,69.67371653641507,69.57486889846172
83,33.08980248526492,92.46936182785628,37.5582952639944,62.8942846779884,45.454106476777326
84,6.355835028602364,87.7339353380981,9.3981939840869,87.74720135270529,62.75580800840635
85,31.09823217156622,25.79416277151556,57.8280140996174,73.50710438038858,58.43143119231002
86,32.518332202674706,65.99840460341791,3.5942273796742086,80.34809303848486,90.11580104909889
87,72.96061783380641,81.72222002012158,46.55980181324602,28.203457257130648,4.5446380341457875
88,63.75574713552131,55.52008115994623,54.26446347075766,17.743954377972283,28.096318959223034
89,88.72127425763266,52.965057835600646,28.65412521282844,75.06147516408583,95.04114840765587
90,47.22149251619493,24.18522909004517,59.08332605690107,80.6834739267264,89.02637838909163
91,11.959424593830171,9.310276780589922,3.050024993904943,99.05051420006733,45.56567527857129
92,71.3244787222995,89.72157579533267,3.7348188749214417,41.26176769114265,62.013259780153675
93,76.07850486168974,90.04180571633304,82.26005606596583,37.201808579278314,27.738118298113267
94,56.127719756949624,63.31014572732679,36.019064141126286,77.64129607419969,18.81211597237613
95,77.0967179954561,33.90297910487007,12.706051265188478,34.08035402530179,46.36984049399822
96,49.379559636439076,34.92095746126609,52.224326005480435,93.07573256035647,35.33522280260528
97,52.27328293819941,72.59556788702393,76.99935530986109,85.84127518430118,58.365611185087204
98,42.75410183585496,89.71102599525771,21.582102749684317,42.89940273750184,7.773463696498483
99,2.541912674409519,88.70864242651173,62.28904758190003,75.08710677914974,97.43948076661665
100,10.789142699330444,77.98755458576238,8.5347464993768,75.45428740846823,98.62107444796028
